"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 150","30 Aug 2023","26121.00","26129.35","25937.70","25959.05"
"NIFTY MIDCAP 150","29 Aug 2023","26088.15","26111.80","25965.00","26056.65"
"NIFTY MIDCAP 150","28 Aug 2023","26087.05","26199.60","25977.70","26015.80"
"NIFTY MIDCAP 150","25 Aug 2023","26071.90","26265.45","25927.50","25981.60"
"NIFTY MIDCAP 150","24 Aug 2023","26468.60","26568.50","26132.45","26171.30"
"NIFTY MIDCAP 150","23 Aug 2023","26591.75","26592.65","26344.45","26370.20"
"NIFTY MIDCAP 150","22 Aug 2023","26489.30","26648.25","26454.15","26522.10"
"NIFTY MIDCAP 150","21 Aug 2023","26324.95","26483.40","26282.60","26462.35"
"NIFTY MIDCAP 150","18 Aug 2023","26222.75","26439.40","26114.05","26302.20"
"NIFTY MIDCAP 150","17 Aug 2023","26565.65","26571.75","26219.20","26266.95"
"NIFTY MIDCAP 150","16 Aug 2023","26254.60","26571.25","26212.55","26541.75"
"NIFTY MIDCAP 150","14 Aug 2023","26356.45","26406.40","26083.70","26375.60"
"NIFTY MIDCAP 150","11 Aug 2023","26408.90","26458.65","26283.20","26367.75"
"NIFTY MIDCAP 150","10 Aug 2023","26375.20","26506.55","26325.25","26418.95"
"NIFTY MIDCAP 150","09 Aug 2023","26258.95","26352.65","26058.95","26328.15"
"NIFTY MIDCAP 150","08 Aug 2023","26365.20","26434.10","26102.10","26174.65"
"NIFTY MIDCAP 150","07 Aug 2023","26385.70","26386.40","26176.95","26266.30"
"NIFTY MIDCAP 150","04 Aug 2023","26376.10","26392.30","26174.25","26252.05"
"NIFTY MIDCAP 150","03 Aug 2023","26313.40","26420.40","26091.65","26221.85"
"NIFTY MIDCAP 150","02 Aug 2023","26802.95","26807.35","26185.15","26352.35"
"NIFTY MIDCAP 150","01 Aug 2023","26858.85","26892.25","26701.40","26783.45"
"NIFTY MIDCAP 150","31 Jul 2023","26601.00","26883.60","26525.10","26853.65"
"NIFTY MIDCAP 150","28 Jul 2023","26170.55","26527.65","26032.80","26433.70"
"NIFTY MIDCAP 150","27 Jul 2023","26388.85","26407.75","26029.75","26097.70"
"NIFTY MIDCAP 150","26 Jul 2023","26203.70","26428.50","26140.70","26293.75"
"NIFTY MIDCAP 150","25 Jul 2023","25830.45","26108.50","25774.80","26078.75"
"NIFTY MIDCAP 150","24 Jul 2023","25699.70","25841.90","25623.75","25749.90"
"NIFTY MIDCAP 150","21 Jul 2023","25955.80","25985.40","25777.60","25843.10"
"NIFTY MIDCAP 150","20 Jul 2023","25853.85","26017.70","25809.50","26003.00"
"NIFTY MIDCAP 150","19 Jul 2023","25745.40","25945.10","25697.85","25820.70"
"NIFTY MIDCAP 150","18 Jul 2023","25620.40","25789.85","25524.95","25612.75"
"NIFTY MIDCAP 150","17 Jul 2023","25408.00","25586.65","25351.05","25521.40"
"NIFTY MIDCAP 150","14 Jul 2023","25400.80","25432.40","25164.25","25332.50"
"NIFTY MIDCAP 150","13 Jul 2023","25810.60","25811.30","25294.85","25334.40"
"NIFTY MIDCAP 150","12 Jul 2023","25785.95","25937.00","25671.45","25700.65"
"NIFTY MIDCAP 150","11 Jul 2023","25616.00","25748.25","25559.70","25720.15"
"NIFTY MIDCAP 150","10 Jul 2023","25561.80","25619.85","25417.45","25496.90"
"NIFTY MIDCAP 150","07 Jul 2023","25552.30","25720.10","25293.65","25331.40"
"NIFTY MIDCAP 150","06 Jul 2023","25121.65","25592.90","25070.40","25575.25"
"NIFTY MIDCAP 150","05 Jul 2023","25026.30","25099.30","24909.35","25034.80"
"NIFTY MIDCAP 150","04 Jul 2023","25096.55","25098.55","24785.80","24940.20"
"NIFTY MIDCAP 150","03 Jul 2023","24773.50","25058.90","24712.60","25020.90"
"NIFTY MIDCAP 150","30 Jun 2023","24743.10","24796.70","24557.35","24696.50"
"NIFTY MIDCAP 150","28 Jun 2023","24373.75","24600.65","24216.35","24554.45"
"NIFTY MIDCAP 150","27 Jun 2023","24298.00","24366.50","24238.25","24284.85"
"NIFTY MIDCAP 150","26 Jun 2023","24299.30","24342.45","24172.70","24226.65"
"NIFTY MIDCAP 150","23 Jun 2023","24585.15","24595.50","24301.20","24332.20"
"NIFTY MIDCAP 150","22 Jun 2023","24839.85","24868.55","24582.85","24607.90"
"NIFTY MIDCAP 150","21 Jun 2023","24664.20","24879.35","24634.65","24865.45"
