"Index Name","Date","Open","High","Low","Close"
"NIFTY500 VALUE 50","16 Nov 2022","-","-","-","6653.77"
"NIFTY500 VALUE 50","15 Nov 2022","-","-","-","6690.88"
"NIFTY500 VALUE 50","14 Nov 2022","-","-","-","6668.70"
"NIFTY500 VALUE 50","11 Nov 2022","-","-","-","6635.61"
"NIFTY500 VALUE 50","10 Nov 2022","-","-","-","6576.79"
"NIFTY500 VALUE 50","09 Nov 2022","-","-","-","6647.81"
"NIFTY500 VALUE 50","07 Nov 2022","-","-","-","6668.24"
"NIFTY500 VALUE 50","04 Nov 2022","-","-","-","6570.39"
"NIFTY500 VALUE 50","03 Nov 2022","-","-","-","6514.56"
"NIFTY500 VALUE 50","02 Nov 2022","-","-","-","6491.47"
"NIFTY500 VALUE 50","01 Nov 2022","-","-","-","6475.70"
"NIFTY500 VALUE 50","31 Oct 2022","-","-","-","6435.24"
"NIFTY500 VALUE 50","28 Oct 2022","-","-","-","6408.04"
"NIFTY500 VALUE 50","27 Oct 2022","-","-","-","6411.42"
"NIFTY500 VALUE 50","25 Oct 2022","-","-","-","6316.78"
"NIFTY500 VALUE 50","24 Oct 2022","-","-","-","6291.81"
"NIFTY500 VALUE 50","21 Oct 2022","-","-","-","6249.94"
"NIFTY500 VALUE 50","20 Oct 2022","-","-","-","6255.41"
"NIFTY500 VALUE 50","19 Oct 2022","-","-","-","6181.13"
"NIFTY500 VALUE 50","18 Oct 2022","-","-","-","6198.04"
"NIFTY500 VALUE 50","17 Oct 2022","-","-","-","6124.18"
"NIFTY500 VALUE 50","14 Oct 2022","-","-","-","6114.92"
"NIFTY500 VALUE 50","13 Oct 2022","-","-","-","6115.82"
"NIFTY500 VALUE 50","12 Oct 2022","-","-","-","6135.98"
"NIFTY500 VALUE 50","11 Oct 2022","-","-","-","6055.77"
"NIFTY500 VALUE 50","10 Oct 2022","-","-","-","6164.74"
"NIFTY500 VALUE 50","07 Oct 2022","-","-","-","6212.16"
"NIFTY500 VALUE 50","06 Oct 2022","-","-","-","6208.82"
"NIFTY500 VALUE 50","04 Oct 2022","-","-","-","6123.68"
